Id,SalePrice
1461,137806.83
1462,160384.14
1467,167670.98
1469,196132.12
1470,138967.75
1477,244844.75
1478,291475.12
1479,278769.3
1480,380748.66
1483,191178.75
1488,234169.38
1489,185760.28
1490,225530.83
1493,186044.61
1503,299668.4
1505,234905.77
1506,183364.48
1510,164234.5
1511,135643.83
1512,169330.48
1519,209959.58
1520,126983.805
1521,126913.18
1522,181919.78
1524,120661.19
1525,140624.47
1529,154839.61
1530,170796.95
1533,129804.28
1555,187589.05
1562,122332.01
1563,113088.26
1566,228781.16
1570,159162.03
1572,149907.5
1573,240980.42
1574,133542.36
1575,245810.88
1577,180722.69
1581,171219.97
1582,117535.99
1583,318073.8
1587,110066.72
1588,141386.05
1591,102379.22
1608,232390.9
1609,190986.34
1611,161667.55
1612,187734.5
1613,184174.16
1618,127127.46
1619,156587.8
1623,305217.94
1625,123284.48
1626,177381.38
1636,179117.12
1639,177725.69
1641,172355.6
1645,206000.9
1646,159222.64
1647,166832.06
1648,138795.95
1649,163926.88
1650,109571.41
1651,121063.28
1660,151109.12
1663,398317.6
1664,461003.1
1665,306464.88
1666,341920.3
1668,373165.28
1669,290763.06
1670,383859.6
1671,278489.66
1672,433161.9
1674,255034.38
1678,390114.2
1679,420070.25
1682,336610.3
1699,341581.47
1702,251750.52
1703,251128.03
1704,277945.22
1705,248433.39
1706,395842.62
1707,217303.56
1708,208053.4
1709,257982.3
1710,221794.48
1712,257721.86
1713,290816.97
1714,251701.69
1716,185794.77
1717,195447.27
1718,129953.08
1720,234601.22
1721,188307.16
1722,122408.055
1723,182905.73
1724,209730.62
1731,120207.65
1732,134451.64
1733,114262.17
1734,125145.516
1735,138115.02
1736,124836.74
1737,337139.7
1744,357028.9
1745,204435.66
1749,146190.9
1750,129116.984
1752,124965.07
1753,161713.23
1756,124134.74
1757,115026.93
1758,153964.52
1759,175211.92
1760,180752.4
1761,168180.56
1764,121609.73
1765,177526.45
1766,163409.64
1767,182995.98
1768,137587.28
1769,174314.66
1770,142507.58
1771,129392.27
1772,146067.89
1773,136007.4
1775,131248.53
1776,148212.47
1778,128175.445
1779,135681.69
1781,123196.836
1782,95930.18
1792,165872.02
1793,151845.77
1794,147548.4
1795,129838.66
1796,132264.44
1798,118646.35
1799,126819.14
1805,128207.54
1839,114189.805
1843,137954.38
1848,34776.742
1849,133889.53
1850,126800.63
1852,120845.586
1865,370488.94
1866,377243.5
1867,229229.81
1868,320791.16
1869,203152.84
1870,221942.56
1871,254304.9
1874,152560.27
1875,182569.16
1877,210172.27
1878,202237.66
1879,125786.34
1880,138261.4
1881,260093.05
1885,255309.39
1886,296126.3
1887,232104
1888,264210.78
1890,132481.08
1892,101465.67
1893,148680.45
1895,166480.89
1902,155130.97
1904,139390.5
1905,222089.89
1907,225368.89
1912,247579.42
1920,150193.9
1921,391970.16
1922,367881.22
1926,414968.3
1927,137514.81
1928,164696.6
1938,181362.97
1945,407389.3
1946,189948.05
1948,205047.86
1949,241853.47
1950,172032.31
1951,274321.03
1952,236570.34
1953,193400.42
1957,144999.2
1960,124622.79
1961,121436.19
1967,308649.2
1968,412828.44
1969,402745.6
1975,466091.16
1976,265758.1
1987,166155.47
1998,307250.56
2002,238815.81
2005,208097.27
2006,207934.83
2007,249473.17
2008,211160.8
2011,159896.64
2012,172697.48
2018,120593.93
2019,139915.05
2021,108818.04
2022,167518.38
2041,276811.84
2044,170107.2
2045,224402.39
2048,130452.836
2051,104015.5
2052,143214.58
2053,148290.17
2055,149468.34
2056,140749.27
2057,125344.93
2059,143995.19
2060,160453.25
2061,180471.53
2062,127114.63
2063,120827.97
2064,154627.22
2065,101823.16
2066,156118.31
2067,133254.08
2069,82583.04
2073,148237.16
2074,181610.02
2075,128151.32
2076,118960.82
2077,153862.92
2078,123975.06
2084,122222.37
2085,131598.33
2086,141313.94
2099,68536.83
2100,60371.22
2108,109123.234
2109,102910.4
2121,102220.5
2137,109410.88
2140,132409.28
2142,128347.36
2145,138124.38
2146,140113.69
2150,238678.47
2153,149911.9
2157,261588.64
2161,236244.88
2162,430232.6
2163,388947.47
2165,230007.44
2166,161562.86
2167,210121.67
2171,159356.11
2172,112249.836
2173,185729.83
2176,297851.6
2181,194304.17
2182,233596.84
2183,187769.9
2184,120299.25
2186,146624.55
2189,186984.2
2195,135483.73
2206,139709.03
2209,204778.8
2217,87456.41
2223,338482.1
2226,202560.88
2228,303784.8
2232,187848.27
2233,195921.06
2234,269521.53
2235,227009.97
2236,283862.6
2237,380578.06
2239,112683.375
2246,137849.14
2248,139255.11
2249,131439.33
2250,143749.47
2252,170448.69
2258,173248.83
2260,183777.31
2264,581888.06
2267,353239.28
2268,428982
2269,145906.9
2271,238341.31
2273,153413.05
2274,191341.56
2275,174400.44
2278,128017.31
2279,134586.52
2280,128018.51
2286,106555.4
2287,353006.97
2288,294691.47
2289,339317.25
2292,466174.16
2293,387978.8
2295,463675.12
2298,345696.97
2302,237987.88
2303,230850.06
2317,183915.19
2320,179617.72
2322,167966.36
2325,201591.95
2337,193469.97
2338,277988.75
2339,212064.78
2340,437871.9
2341,216016.69
2342,235329.88
2343,232334.44
2346,201671.02
2347,198356.2
2351,254102
2352,244698.22
2354,135063.67
2355,141382.34
2356,173613.66
2357,197726.95
2360,114705.016
2361,148337.67
2363,139592.61
2364,157582.11
2372,196690.6
2376,294476.9
2377,336650.97
2378,149476.73
2381,186098.12
2382,183612.98
2383,197923.44
2385,158426.86
2386,127927.03
2387,128274.76
2389,145483.72
2390,133694.78
2391,170588
2392,99363.02
2393,155356.77
2396,131485.4
2397,205338.98
2399,70709.45
2401,116069.82
2402,126354.97
2406,132488.05
2407,134970.56
2408,150145.44
2409,124428.24
2410,178626.66
2411,130970.766
2412,127115.22
2413,125356.45
2414,147173.22
2416,115971.305
2417,126314.04
2418,134993.77
2420,128687.74
2421,141579.75
2422,112848.9
2429,118297.24
2430,135738.55
2431,121481.19
2432,123157.93
2433,139393.6
2434,138034.95
2435,130414.69
2436,112737.62
2437,103985.21
2453,100097.97
2479,109055.375
2481,128490.02
2483,116497.9
2484,122363.91
2485,129956.86
2486,155057.4
2489,159208.42
2490,176970.56
2491,117936.15
2492,169538.31
2493,160772.98
2494,147889.78
2495,120335.555
2496,269729.7
2498,123320.75
2501,161358.52
2506,262835.9
2507,283552.28
2508,261174.72
2509,211791.14
2510,202648.95
2511,176437.38
2514,260471.14
2515,147019.16
2517,155926.56
2518,160453.72
2523,130531.74
2526,134210.77
2527,132151.42
2528,140312.95
2529,131005.29
2530,131119.02
2531,231910.1
